poi_id,lon,lat,x,y,edge_id
43942033,13.483183652380953,52.53626893809523,2885.8578862721915,7367.207468086854,
44131349,13.479390725,52.5368512625,2629.982392707956,7437.388665986247,
45250600,13.482825918181819,52.54759192727273,2888.073706105002,8627.094237202778,
47009314,13.45739505,52.5257978,1111.958366804407,6239.6548291780055,128391377
47127804,13.46841086,52.530679899999996,1870.7606311790296,6766.740368085913,47127806#3
47253747,13.467384690476191,52.52940255238096,1798.13916449697,6626.148053565994,290075136#2
47441374,13.486309025,52.5469762125,3122.8042498287396,8553.652548715472,
50537738,13.48270353125,52.5279592875,2833.8652712434996,6443.669185318984,38238527#0
75619322,13.45705552,52.53534569999999,1111.628390764934,7302.087971895933,4687303#4
75619326,13.457373262499999,52.53515105625,1132.7156474100193,7279.978511548601,4687303#4
84404796,13.481288730769231,52.528278353846154,2738.6406568009406,6481.175088848919,591622864#3
96566609,13.481584016666666,52.531101391666674,2765.276597373071,6794.739723586477,993318686#1
96566612,13.481532966666668,52.53027685833334,2759.8844857267686,6703.105684624985,1328793149#3
109137984,13.456928099999999,52.542256959999996,1119.4230533440132,8070.9609932871535,
109768062,13.458091307692307,52.52678451538462,1161.5348455503117,6348.390435804613,-1082762764
115941393,13.469876,52.52644245,1960.1487286314368,6293.332275286317,112452830#0
117819796,13.457055936363638,52.55305531818181,1153.7737775280257,9271.798712462187,
121553901,13.460018233333335,52.54769997916667,1341.8898353016702,8671.872130508535,
121553901,13.460018233333335,52.54769997916667,1341.8898353016702,8671.872130508535,
135438002,13.470484010000002,52.52865431,2006.607033664768,6538.4668410932645,-1135049475
137118021,13.475865596428573,52.552411164285715,2427.461504464736,9173.050141334534,
148649847,13.466853645,52.526529440000004,1755.3295965708094,6307.3582591973245,439032741
156138101,13.46052788,52.547330239999994,1375.5681436372688,8630.01133099012,
156580741,13.4637552625,52.545548825,1590.1786560317269,8427.213484279811,
156580742,13.462519316666667,52.54840679166667,1513.1464391072514,8746.86949390173,
156580746,13.4694065875,52.5462117,1974.9395921909017,8492.797141736373,
156580747,13.461768858064515,52.54776990967742,1460.753646686091,8677.118148235604,
244270841,13.457690246875,52.55177185625,1193.7253967733122,9128.129002232105,
251402150,13.477940764285716,52.52817589285714,2511.2966526913806,6474.5630723480135,1375537453
266531791,13.466817805263156,52.52695647368421,1753.9072845125338,6354.905662600882,439032741
269873652,13.4615904875,52.5286070625,1403.2240075807786,6546.033448750153,1052744898#1
285188123,13.481117377777778,52.52752781111111,2725.2604967620573,6397.942273375578,1123796964
289151317,13.457402544444443,52.55310951111111,1177.4009190904908,9277.323752049357,
305168745,13.456688127272729,52.53253517272728,1080.0263105125632,6990.026886804029,42033364#0
305475876,13.4575983,52.5328567,1142.5244788066484,7024.468213909306,42033364#0
317836043,13.455739000000001,52.529135575,1007.5598784182221,6613.292396879755,29278174#1
317836066,13.455155434482759,52.529855,969.6882880366175,6694.155694762245,393241758#1
317858421,13.461902630508476,52.53031616949153,1428.448531927832,6735.673324496485,317858524#1
323588533,13.455070575,52.544083775000004,997.8114312598482,8276.839324662462,
326610454,13.469729642307692,52.550102554999995,2006.0222381142084,8925.084840011783,
326610455,13.470018012692307,52.55092924769231,2027.5233252536855,9016.617446545511,
326610707,13.46883718,52.55019503999999,1945.7319461724837,8936.654956293292,
326610722,13.46881265,52.5509269,1945.79622342519,9018.089884096757,
326610889,13.468056105454545,52.55074743636364,1894.0799845887814,8999.218169701286,
360106702,13.461333664705883,52.54780260588235,1431.3237245636992,8681.383843292482,
371914973,13.471635957142857,52.533332185714286,2095.7645191163756,7057.097293738276,563341819#1
371914975,13.47175245882353,52.53427750294117,2105.892727183411,7162.070701287128,-563341819#1
375431525,13.476528475,52.527379350000004,2413.626171679818,6387.990662861615,197742437#0
389153117,13.474000158333332,52.55157005833333,2299.0135617690394,9082.172933677211,
389155663,13.479375541666668,52.53673874166666,2628.6889580950374,7424.8954744990915,
415222780,13.482958858333333,52.527951691666665,2851.1673300381517,6442.460285292938,38238527#0
429587422,13.4821408,52.52943735,2799.1503018046496,6608.865980816074,1221700404
437672217,13.462881566666667,52.54753673333334,1535.646298266307,8649.57585342601,
437672220,13.462878475,52.5481037875,1536.7802202252788,8712.649688645266,
437672221,13.46053795,52.547797433333336,1377.3595528306905,8681.959311895072,
437672223,13.462977933333333,52.5474251,1541.9158152079908,8637.020492006093,
437672225,13.462735566666666,52.548391083333335,1527.771431674657,8744.80997024849,
437672252,13.4631624,52.548101242857136,1556.0250510080368,8711.956607339904,
437672253,13.454510083333332,52.54441595,960.5964774675085,8314.598567030393,
443718437,13.4815749875,52.53594255,2775.992789089447,7333.199943494052,
451792442,13.457498425,52.552921312500004,1183.4536271555116,9256.252795325592,
451792443,13.457226923076924,52.551918669230766,1162.6626203821506,9145.129511511885,
473934083,13.46701658235294,52.52932014117647,1772.9751574107795,6617.512355105951,1133126927#0
476122468,13.454819066666666,52.54345506666667,979.2596067629056,8207.277881458402,
476122470,13.454163771428572,52.54370895,935.4291365460958,8236.467161079869,
494497710,13.456364985714286,52.53414702142857,1061.943191871571,7169.769448702224,32470252
496657168,13.4555478875,52.53644825,1012.0017479482922,7426.903545577079,4687303#4
513015071,13.469166593939393,52.53229019480519,1925.8206026861444,6944.754040459171,456810312#3
567540932,13.4689395,52.551159033333334,1954.9442984994384,9043.72594249621,
567540939,13.46817848076923,52.55066208076923,1902.175310515333,8989.54851842206,
567540939,13.46817848076923,52.55066208076923,1902.175310515333,8989.54851842206,
631356623,13.477117641666666,52.52755165,2453.9964499236667,6406.310903704725,1375537395
638332625,13.4863295625,52.5470996875,3124.484873108682,8567.356613098644,
669628058,13.457710522580646,52.53244982580645,1149.1690272523556,6979.051984271035,42033359#1
692426635,13.46066255,52.54770845,1385.5966794493143,8671.882098831236,
692426636,13.46054345,52.54790865,1377.9963810672052,8694.321184719913,
760193958,13.4553223,52.54758512608696,1023.2170725017204,8665.90360433422,
915545477,13.472786525,52.534657925000005,2176.9226223811274,7202.89762789011,456806329#0
1023022210,13.461513425,52.52846095,1397.650244568882,6529.893879301846,1133102267
1039827892,13.454427994444444,52.54324485555556,952.2403380688047,8184.465564884245,
1042961552,13.4689496,52.5500493625,1953.0101521342294,8920.290535604581,
1042965324,13.46830089,52.55039866,1909.8525439695804,8960.073898049071,
1042965325,13.468445975,52.55018515,1919.1851169263246,8936.117881479673,
1117819400,13.468603366666665,52.53298783333333,1889.2650104297209,7023.157697134651,978758986#3
1132991609,13.475537600000001,52.54649252777778,2391.316548327275,8515.23123523686,
1304963615,13.455441175,52.536579825000004,1005.0776575539494,7441.692541573197,
1433767664,13.467970769230769,52.55179548461538,1890.7693853917299,9115.90804208722,
1433767664,13.467970769230769,52.55179548461538,1890.7693853917299,9115.90804208722,
