id,name,type,lat,lon
25823723,Gutenberg-Oberschule,school,52.536607592307696,13.484239161538461
25823840,Unknown,school,52.536189846153846,13.483548492307692
25823867,Grundschule Am Wilhelmsberg,school,52.537057230769236,13.483361307692308
25823867,Grundschule Am Wilhelmsberg,school,52.537057230769236,13.483361307692308
26298848,Primo-Levi-Gymnasium Haus A,school,52.55103192,13.4539997
26629251,Unknown,kindergarten,52.5271423,13.4766432625
26629252,Unknown,school,52.52719781,13.477494329999999
26629255,Villa Looß am Fennpfuhl,restaurant,52.527839693333334,13.472820473333334
28937568,Unknown,kindergarten,52.533032649999996,13.4686328
29431382,Intermarkt Stolitschniy,supermarket,52.52866756666666,13.459609566666666
35073117,Unknown,school,52.54774713125,13.455932025
38159803,Unknown,school,52.531777794444444,13.480939688888888
38211158,Unknown,school,52.52897118888889,13.481941144444445
38212302,Unknown,school,52.53028147,13.48132201
38212303,Unknown,school,52.53110832,13.48137294
38244926,Kita Die schlauen Mäuschen,kindergarten,52.532459575000004,13.4828907
38244926,Kita Die schlauen Mäuschen,kindergarten,52.532459575000004,13.4828907
38320233,Polikum,clinic,52.528039621052635,13.467509873684211
38320233,Polikum,clinic,52.528039621052635,13.467509873684211
38320240,Ärztehaus,clinic,52.527448316666664,13.468545058333333
38320240,Ärztehaus,clinic,52.527448316666664,13.468545058333333
38352880,Unknown,kindergarten,52.528670375,13.46919295
38555695,Hans-Rosenthal-Grundschule,school,52.53173471,13.48069107
39529441,Kita Paule-Platsch,kindergarten,52.53127823333333,13.481671111111112
39529522,Kita Zwergenparadies,kindergarten,52.53018458333333,13.481546033333332
39529597,Grundschule am Roederplatz,school,52.52928453793104,13.482225213793104
41764116,Unknown,school,52.52670774166666,13.469927183333333
42033357,Unknown,kindergarten,52.53215628,13.45761731
43887852,Brillat-Savarin-Schule,school,52.552758358333335,13.475626158333334
43887854,Georg-Zacharias-Grundschule Berlin-Pankow,school,52.5519304875,13.4752058
43887854,Georg-Zacharias-Grundschule Berlin-Pankow,school,52.5519304875,13.4752058
43942033,Unknown,school,52.53626893809523,13.483183652380953
44131349,Unknown,school,52.5368512625,13.479390725
45250600,Orankesee Terrassen,restaurant,52.54759192727273,13.482825918181819
47009314,home24 Outlet,furniture,52.5257978,13.45739505
47127804,Netto Marken-Discount,supermarket,52.530679899999996,13.46841086
47253747,Sonnenuhr-Schule,school,52.52940255238096,13.467384690476191
47441374,Unknown,kindergarten,52.5469762125,13.486309025
50537738,Unknown,school,52.5279592875,13.48270353125
75619322,Grundschule im Blumenviertel,school,52.53534569999999,13.45705552
75619326,Unknown,school,52.53515105625,13.457373262499999
84404796,nah und gut,supermarket,52.528278353846154,13.481288730769231
96566609,Unknown,school,52.531101391666674,13.481584016666666
96566612,Unknown,school,52.53027685833334,13.481532966666668
109137984,Norma,supermarket,52.542256959999996,13.456928099999999
109768062,Aldi,supermarket,52.52678451538462,13.458091307692307
115941393,Kita Sonnenschein,kindergarten,52.52644245,13.469876
117819796,Unknown,school,52.55305531818181,13.457055936363638
121553901,Picasso-Grundschule - Nebengebäude,school,52.54769997916667,13.460018233333335
121553901,Picasso-Grundschule - Nebengebäude,school,52.54769997916667,13.460018233333335
135438002,REWE,supermarket,52.52865431,13.470484010000002
137118021,Unknown,school,52.552411164285715,13.475865596428573
148649847,Unknown,school,52.526529440000004,13.466853645
156138101,Turnhalle der Picasso Grundschule,school,52.547330239999994,13.46052788
156580741,Aldi,supermarket,52.545548825,13.4637552625
156580742,Unknown,kindergarten,52.54840679166667,13.462519316666667
156580746,Lidl,supermarket,52.5462117,13.4694065875
156580747,Unknown,school,52.54776990967742,13.461768858064515
244270841,Unknown,school,52.55177185625,13.457690246875
251402150,Volkshochschule Lichtenberg,school,52.52817589285714,13.477940764285716
