poi_id,x,y
131506530,322.631232,521.74826
131506530,315.745412,520.077275
131506530,320.173742,507.459607
131506530,324.412218,508.510997
131506530,324.275365,508.15797
131506530,324.239774,507.780424
131506530,324.306192,507.411726
131506530,324.4613,507.063299
131506530,324.705843,506.768512
131506530,325.013182,506.550215
131506530,325.363215,506.419984
131506530,325.742622,506.389246
131506530,326.117482,506.45876
131506530,326.481013,506.628675
131506530,326.785476,506.888933
131506530,327.003489,507.229018
131506530,327.12752,507.615714
131506530,327.136471,508.016111
131506530,327.029846,508.407964
131506530,326.827251,508.757452
131506530,326.534722,509.031056
131506530,328.241165,509.460269
131506530,329.566742,508.640568
131506530,328.519445,506.727763
131506531,368.335327,503.434203
131506531,370.06529,497.019376
131506531,368.99093,496.932108
131506531,373.890035,480.164474
131506531,379.637209,480.692579
131506531,377.531042,505.810328
131506531,377.205201,509.756811
131506531,371.163366,509.101763
131506531,372.429839,504.422086
131506531,368.335327,503.434203
131515670,205.418792,397.959568
131515670,207.494078,392.727613
131515670,208.363383,393.053117
131515670,220.918776,397.835245
131515670,226.641845,400.010614
131515670,226.291926,400.752872
131515670,221.100047,412.608775
131515670,214.843595,410.256178
131515670,216.28683,406.807677
131515670,214.64434,403.172292
131515670,216.178886,399.254384
131515670,214.487769,398.602311
131515670,213.5259,401.116442
131515670,205.418792,397.959568
137000584,1095.422288,716.713147
137000584,1098.504279,703.903581
137000584,1106.948568,706.097433
137000584,1115.208209,708.228633
137000584,1106.171791,719.412201
137000584,1105.436658,718.093204
137000584,1104.936029,718.47153
137000584,1102.792863,717.929343
137000584,1102.906939,717.259152
137000584,1101.235824,718.108568
137000584,1095.422288,716.713147
137000585,1151.06687,717.525563
137000585,1160.944322,720.077172
137000586,1132.745149,712.780062
137000586,1142.028738,715.177899
137000586,1151.06687,717.525563
137000589,1082.266819,720.588333
137000589,1083.139354,716.785563
137000589,1082.737388,716.716594
137000589,1083.449847,713.651803
137000589,1083.115339,713.258635
137000589,1083.428841,712.0944
137000589,1090.471354,713.818605
137000589,1090.234447,715.07016
137000589,1089.480599,715.353961
137000589,1089.140368,718.06553
137000589,1088.447197,718.025283
137004052,1071.19022,713.857262
137004052,1073.230401,714.346084
137004052,1072.932445,715.598996
137004052,1075.136422,716.128692
1405662,698.414847,728.347525
1405662,702.09182,726.752231
1405662,701.313087,724.699837
1405662,699.271225,723.832865
1405662,697.073032,724.783187
1405662,695.305945,720.104432
1405662,704.999568,715.91586
1405662,714.693207,711.727309
1405662,714.89455,712.234695
1405662,716.480381,716.394495
1405662,714.28243,717.355932
1405662,713.379544,719.479176
1405662,714.165305,721.542544
1405662,717.835504,719.947413
1405662,720.497173,727.310269
1405662,698.414847,728.347525
147686966,1320.20623,514.10134
147686966,1321.840428,514.031753
147686966,1321.421465,555.168698
147686966,1321.439733,540.368566
147686966,1322.775981,528.688351
147686966,1320.948881,528.628679
147686966,1320.20623,514.10134
